feature,importance
Late_delivery_risk_mean,0.11354888867538053
Type_<lambda>,0.08975943986635
Delivery Status_<lambda>,0.08583883941870223
Late_delivery_risk_min,0.05140595053597417
Days for shipping (real)_sum,0.03790279019194845
closeness_centrality,0.03650257749109523
Order Item Discount Rate_sum,0.034301825929957286
Sales_sum,0.0256848231427825
Late_delivery_risk_sum,0.02462585021408079
Order Item Total_sum,0.023160172031376897
Order Item Quantity_sum,0.02284817913252266
Order Item Discount Rate_std,0.021547418431169602
betweenness_centrality,0.01973222229852936
Days for shipping (real)_mean,0.01795956672028329
Order Item Discount_sum,0.017052103588101015
Days for shipping (real)_std,0.016027958807593192
Order Item Quantity_std,0.015965000839002614
Late_delivery_risk_std,0.014381042802344566
degree_centrality,0.013537778802601076
Order Item Total_std,0.01270922821188689
Order Item Discount_std,0.012681930039376418
Days for shipping (real)_max,0.012562896599154327
Benefit per order_std,0.012169790165171153
Late_delivery_risk_max,0.011810152675089369
Order Item Quantity_mean,0.011775193806695975
Benefit per order_min,0.010368296875399216
Order Profit Per Order_std,0.010343812519811178
Benefit per order_mean,0.009618895137090779
Shipping Mode_<lambda>,0.009535710709527767
Order Item Discount Rate_mean,0.00942190197683874
Order Item Total_min,0.009338426720035894
Order Item Profit Ratio_min,0.009046736345915076
Order Profit Per Order_max,0.008985309648488787
Benefit per order_max,0.008979689485324883
Days for shipping (real)_min,0.008947887454404583
Order Profit Per Order_mean,0.008444263151048877
Sales_std,0.008442552992370558
Order Profit Per Order_min,0.008415768639754549
Sales_mean,0.008402233688750906
Order Item Discount_mean,0.008348949794486324
Order Item Discount_max,0.008344290639329005
Order Item Total_mean,0.008151116249850123
Benefit per order_sum,0.008072688561917892
Order Item Profit Ratio_sum,0.008015282463849619
Order Item Profit Ratio_mean,0.007677379499583624
Order Item Total_max,0.007608482965691673
Order Item Profit Ratio_std,0.007041829493905834
Order Profit Per Order_sum,0.006646259010891772
Sales_min,0.006512427868925682
Order Item Discount_min,0.006007369051352821
Order Item Profit Ratio_max,0.00508808457161698
Sales_max,0.004395522638724122
community_id,0.004347556403121406
Category Name_<lambda>,0.003957809156014104
Order Item Quantity_max,0.0034100172237244808
Order Item Discount Rate_min,0.0032654816585602265
Market_<lambda>,0.0027774951225019457
Order Item Discount Rate_max,0.002660384082164801
Department Name_<lambda>,0.001980730828589761
Customer Segment_<lambda>,0.0017994445152062703
Order Item Quantity_min,0.00010829243806028188
